,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity
Ni5B2,Ni,5,B,2,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
NiC,Ni,1,C,1,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
NiC2,Ni,1,C,2,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Ni2C,Ni,2,C,1,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Ni3C4,Ni,3,C,4,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Ni5C2,Ni,5,C,2,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
NiN,Ni,1,N,1,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
NiN2,Ni,1,N,2,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Ni2N,Ni,2,N,1,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Ni3N4,Ni,3,N,4,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Ni5N2,Ni,5,N,2,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
CrB,Cr,1,B,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
CrB2,Cr,1,B,2,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Cr2B,Cr,2,B,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Cr3B4,Cr,3,B,4,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Cr5B2,Cr,5,B,2,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
CrC,Cr,1,C,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
CrC2,Cr,1,C,2,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Cr2C,Cr,2,C,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Cr3C4,Cr,3,C,4,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Cr5C2,Cr,5,C,2,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
CrN,Cr,1,N,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
CrN2,Cr,1,N,2,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Cr2N,Cr,2,N,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Cr3N4,Cr,3,N,4,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Cr5N2,Cr,5,N,2,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
CoB,Co,1,B,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
CoB2,Co,1,B,2,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Co2B,Co,2,B,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Co3B4,Co,3,B,4,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Co5B2,Co,5,B,2,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
CoC,Co,1,C,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
CoC2,Co,1,C,2,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Co2C,Co,2,C,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Co3C4,Co,3,C,4,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Co5C2,Co,5,C,2,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
CoN,Co,1,N,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
CoN2,Co,1,N,2,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Co2N,Co,2,N,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Co3N4,Co,3,N,4,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Co5N2,Co,5,N,2,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
HfB,Hf,1,B,1,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
HfB2,Hf,1,B,2,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Hf2B,Hf,2,B,1,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Hf3B4,Hf,3,B,4,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Hf5B2,Hf,5,B,2,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
HfC,Hf,1,C,1,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
HfC2,Hf,1,C,2,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Hf2C,Hf,2,C,1,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Hf3C4,Hf,3,C,4,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Hf5C2,Hf,5,C,2,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
HfN,Hf,1,N,1,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
HfN2,Hf,1,N,2,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Hf2N,Hf,2,N,1,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Hf3N4,Hf,3,N,4,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Hf5N2,Hf,5,N,2,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
TiB,Ti,1,B,1,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
TiB2,Ti,1,B,2,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Ti2B,Ti,2,B,1,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Ti3B4,Ti,3,B,4,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Ti5B2,Ti,5,B,2,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
TiC,Ti,1,C,1,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
TiC2,Ti,1,C,2,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Ti2C,Ti,2,C,1,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Ti3C4,Ti,3,C,4,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Ti5C2,Ti,5,C,2,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
TiN,Ti,1,N,1,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
TiN2,Ti,1,N,2,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Ti2N,Ti,2,N,1,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Ti3N4,Ti,3,N,4,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Ti5N2,Ti,5,N,2,22,4,4,47.867,4.54,2.5966283435174167,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
ReB,Re,1,B,1,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
ReB2,Re,1,B,2,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Re2B,Re,2,B,1,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Re3B4,Re,3,B,4,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Re5B2,Re,5,B,2,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
ReC,Re,1,C,1,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
ReC2,Re,1,C,2,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Re2C,Re,2,C,1,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Re3C4,Re,3,C,4,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Re5C2,Re,5,C,2,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
ReN,Re,1,N,1,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
ReN2,Re,1,N,2,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Re2N,Re,2,N,1,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Re3N4,Re,3,N,4,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Re5N2,Re,5,N,2,75,7,6,186.207,21.02,2.450214496174702,1.51,7.83352,0.06039663,75,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
ScB,Sc,1,B,1,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
ScB2,Sc,1,B,2,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Sc2B,Sc,2,B,1,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Sc3B4,Sc,3,B,4,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
Sc5B2,Sc,5,B,2,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325
ScC,Sc,1,C,1,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
ScC2,Sc,1,C,2,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Sc2C,Sc,2,C,1,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Sc3C4,Sc,3,C,4,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
Sc5C2,Sc,5,C,2,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612
ScN,Sc,1,N,1,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
ScN2,Sc,1,N,2,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Sc2N,Sc,2,N,1,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Sc3N4,Sc,3,N,4,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
Sc5N2,Sc,5,N,2,21,3,4,44.95591,2.989,2.9230526221566113,1.7,6.56149,0.1882,21,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07
