,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,a,b,c,space_group
MoB,Mo,1,B,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.13188,3.13188,8.811187301545463,141
MoB2,Mo,1,B,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.0304928158258355,3.0304928158258355,3.349321,191
Mo2B,Mo,2,B,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.601682852872197,4.601682852872197,4.601682852872197,140
Mo3B4,Mo,3,B,4,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Mo5B2,Mo,5,B,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
MoC,Mo,1,C,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.0993409458221923,3.0993409458221923,3.0993409458221923,225
MoC2,Mo,1,C,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Mo2C,Mo,2,C,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.884921359196122,2.884921359196122,5.485081,187
Mo3C4,Mo,3,C,4,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Mo5C2,Mo,5,C,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
MoN,Mo,1,N,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,5.358692325532042,5.358692325532042,5.358692325532042,74
MoN2,Mo,1,N,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.348053,4.348053,2.76746,127
Mo2N,Mo,2,N,1,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,5.043594590258618,5.043594590258618,5.043594590258618,141
Mo3N4,Mo,3,N,4,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Mo5N2,Mo,5,N,2,42,6,5,95.94,10.22,2.498039380502796,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
MnB,Mn,1,B,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,6.770085,6.770085,3.960809,138
MnB2,Mn,1,B,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.9889825685851696,2.9889825685851696,2.94751,191
Mn2B,Mn,2,B,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.128524332184927,4.128524332184927,4.128524332184927,140
Mn3B4,Mn,3,B,4,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,6.720769374577065,6.720769374577065,6.720769374577065,71
Mn5B2,Mn,5,B,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
MnC,Mn,1,C,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
MnC2,Mn,1,C,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Mn2C,Mn,2,C,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Mn3C4,Mn,3,C,4,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Mn5C2,Mn,5,C,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,6.227861717358615,6.227861717358615,4.997432957420039,15
MnN,Mn,1,N,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.9255736969862856,2.9255736969862856,2.9255736969862856,225
MnN2,Mn,1,N,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Mn2N,Mn,2,N,1,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.8242717408877285,2.8242717408877285,4.401665,164
Mn3N4,Mn,3,N,4,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,7.828821364591543,7.828821364591543,2.620056,176
Mn5N2,Mn,5,N,2,25,7,4,54.938049,7.33,2.3174271661174166,1.39,7.434038,-0.52,25,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
FeB,Fe,1,B,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.90014,6.692924,6.692924,138
FeB2,Fe,1,B,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.763627,3.0191978553259804,3.0191978553259804,191
Fe2B,Fe,2,B,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.160264037541247,4.160264037541247,4.160264037541247,140
Fe3B4,Fe,3,B,4,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Fe5B2,Fe,5,B,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
FeC,Fe,1,C,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
FeC2,Fe,1,C,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Fe2C,Fe,2,C,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.699185957284386,3.699185957284386,2.641804,191
Fe3C4,Fe,3,C,4,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Fe5C2,Fe,5,C,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,4.522894,5.004117,11.985526418751911,13
FeN,Fe,1,N,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.885121532248165,2.885121532248165,2.885121532248165,225
FeN2,Fe,1,N,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.576684,3.87171,4.629448,58
Fe2N,Fe,2,N,1,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.347445,4.746325,5.4684,60
Fe3N4,Fe,3,N,4,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Fe5N2,Fe,5,N,2,26,8,4,55.845,7.874,2.2751636270238866,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
NbB,Nb,1,B,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.182971,3.317732,4.693352100119913,63
NbB2,Nb,1,B,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.1120833048318293,3.1120833048318293,3.337463,191
Nb2B,Nb,2,B,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Nb3B4,Nb,3,B,4,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,7.445911285460565,7.445911285460565,7.445911285460565,71
Nb5B2,Nb,5,B,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
NbC,Nb,1,C,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.806433,2.806433,2.806433,221
NbC2,Nb,1,C,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Nb2C,Nb,2,C,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.106926,4.999598,11.023332,62
Nb3C4,Nb,3,C,4,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Nb5C2,Nb,5,C,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
NbN,Nb,1,N,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.998928145387948,2.998928145387948,5.618403,194
NbN2,Nb,1,N,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Nb2N,Nb,2,N,1,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.1574200602605917,3.1574200602605917,4.856693,164
Nb3N4,Nb,3,N,4,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
Nb5N2,Nb,5,N,2,41,5,5,92.90638,8.57,2.6208243392168558,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
WB,W,1,B,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.109849,3.182862,4.550855911401393,63
WB2,W,1,B,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.0223868174912685,3.0223868174912685,3.382029,191
W2B,W,2,B,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.624722445304367,4.624722445304367,4.624722445304367,140
W3B4,W,3,B,4,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
W5B2,W,5,B,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
WC,W,1,C,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.330037361611428,3.330037361611428,3.330037361611428,216
WC2,W,1,C,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
W2C,W,2,C,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.070045283981655,3.070045283981655,4.678428,164
W3C4,W,3,C,4,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
W5C2,W,5,C,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
WN,W,1,N,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.86745,3.459591,4.16358,31
WN2,W,1,N,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,9.743912,9.743912,3.041,86
W2N,W,2,N,1,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.8352056354361674,2.8352056354361674,17.656657,164
W3N4,W,3,N,4,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.227333,4.227333,4.227333,221
W5N2,W,5,N,2,74,6,6,183.84,19.3,2.510213004823371,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
ZrB,Zr,1,B,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.473762471741843,3.473762471741843,3.473762471741843,225
ZrB2,Zr,1,B,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.180490747828234,3.180490747828234,3.545484,191
Zr2B,Zr,2,B,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Zr3B4,Zr,3,B,4,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Zr5B2,Zr,5,B,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
ZrC,Zr,1,C,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.340612850630854,3.340612850630854,3.340612850630854,225
ZrC2,Zr,1,C,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Zr2C,Zr,2,C,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Zr3C4,Zr,3,C,4,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
Zr5C2,Zr,5,C,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,,,,
ZrN,Zr,1,N,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.2076393710966014,3.2076393710966014,5.520387,194
ZrN2,Zr,1,N,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.792659,4.171062,4.370083,59
Zr2N,Zr,2,N,1,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,5.437125,5.437125,3.321494,136
Zr3N4,Zr,3,N,4,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,6.513337338204586,6.513337338204586,6.513337338204586,227
Zr5N2,Zr,5,N,2,40,4,5,91.224,6.506,2.855494700971205,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,,,,
IrB,Ir,1,B,1,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.050359782897912,3.050359782897912,2.719451,187
IrB2,Ir,1,B,2,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Ir2B,Ir,2,B,1,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Ir3B4,Ir,3,B,4,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
Ir5B2,Ir,5,B,2,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,,,,
IrC,Ir,1,C,1,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.277323965287533,3.277323965287533,3.277323965287533,216
IrC2,Ir,1,C,2,77,9,6,192.217,22.42,2.423641628211529,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.6529104199184794,3.6529104199184794,7.836791438333996,12
