,M Number,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,Predicted_Energy
IrC,1,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.228883889
IrC2,1,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.261939924
Ir2C,2,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.258205338
Ir3C4,3,4,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.306356083
Ir5C2,5,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.261220013
IrN,1,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.275002983
IrN2,1,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.33880112
Ir2N,2,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.298025726
Ir3N4,3,4,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.36675499
Ir5N2,5,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.348038541
IrB,1,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.221872395
IrB2,1,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.281162471
Ir2B,2,1,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.257273798
Ir3B4,3,4,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.353623656
Ir5B2,5,2,77,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,77,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.299425577
NbC,1,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.911068453
NbC2,1,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.917399768
Nb2C,2,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.987599689
Nb3C4,3,4,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.93455239
Nb5C2,5,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.918722948
NbN,1,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.817749037
NbN2,1,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.904061895
Nb2N,2,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.830652569
Nb3N4,3,4,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.953832322
Nb5N2,5,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.950919259
NbB,1,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.667765863
NbB2,1,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.745569484
Nb2B,2,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.96622901
Nb3B4,3,4,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.822495713
Nb5B2,5,2,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.654013707
RuC,1,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.166805127
RuC2,1,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.21785626
Ru2C,2,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.233869947
Ru3C4,3,4,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.233266825
Ru5C2,5,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.19203129
RuN,1,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.288607722
RuN2,1,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.357922683
Ru2N,2,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.301859021
Ru3N4,3,4,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.396744936
Ru5N2,5,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.384915087
RuB,1,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.306083788
RuB2,1,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.336938669
Ru2B,2,1,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.457120551
Ru3B4,3,4,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.353862838
Ru5B2,5,2,44,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,44,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.293377525
CoC,1,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.253948847
CoC2,1,2,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.291872625
Co2C,2,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.372525822
Co3C4,3,4,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.294024543
Co5C2,5,2,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.237076014
CoN,1,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.321916332
CoN2,1,2,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.406533856
Co2N,2,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.35461625
Co3N4,3,4,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.430263123
Co5N2,5,2,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.417520122
CoB,1,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.254558426
CoB2,1,2,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.194351073
Co2B,2,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.3928158
Co3B4,3,4,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.288560061
Co5B2,5,2,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.123276088
FeC,1,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.334107234
FeC2,1,2,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.359733695
Fe2C,2,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.42176487
Fe3C4,3,4,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.34056658
Fe5C2,5,2,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.296734621
FeN,1,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.368681114
FeN2,1,2,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.491418268
Fe2N,2,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.411116398
Fe3N4,3,4,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.480463001
Fe5N2,5,2,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.48923725
FeB,1,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.368892481
2-Feb,1,2,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.297114137
Fe2B,2,1,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.509202525
Fe3B4,3,4,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.381897006
Fe5B2,5,2,26,8,4,55.845,7.874,2.275163627,1.32,7.9024681,0.15323634,26,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.198409088
HfC,1,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-1.087059376
HfC2,1,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-1.071518614
Hf2C,2,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-1.111374051
Hf3C4,3,4,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-1.127993783
Hf5C2,5,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-1.103167248
HfN,1,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.032060198
HfN2,1,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.076616459
Hf2N,2,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.051358095
Hf3N4,3,4,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.120706648
Hf5N2,5,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.10510939
HfB,1,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.738875043
HfB2,1,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.73136228
Hf2B,2,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.933325427
Hf3B4,3,4,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.81539924
Hf5B2,5,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.676728621
NiC,1,1,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.22642119
NiC2,1,2,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.269250257
Ni2C,2,1,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.333666978
Ni3C4,3,4,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.272586682
Ni5C2,5,2,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.207381719
NiN,1,1,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.354646473
NiN2,1,2,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.4150082
Ni2N,2,1,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.37203184
Ni3N4,3,4,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.431660323
Ni5N2,5,2,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.42259874
NiB,1,1,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.253155395
NiB2,1,2,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.211831238
Ni2B,2,1,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.380081582
Ni3B4,3,4,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.288518622
Ni5B2,5,2,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.128307632
TcC,1,1,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.228386089
TcC2,1,2,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.277675898
Tc2C,2,1,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.29517944
Tc3C4,3,4,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.291206202
Tc5C2,5,2,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.248424078
TcN,1,1,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.396534035
TcN2,1,2,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.487623967
Tc2N,2,1,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.413093413
Tc3N4,3,4,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.50682908
Tc5N2,5,2,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.503334886
TcB,1,1,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.362566142
TcB2,1,2,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.441574378
Tc2B,2,1,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.548500151
Tc3B4,3,4,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.416067995
Tc5B2,5,2,43,7,5,98,11.5,2.418758004,1.47,7.11938,0.552,43,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.337020638
TiC,1,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.9975883
TiC2,1,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-1.010809765
Ti2C,2,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-1.091850933
Ti3C4,3,4,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.982432515
Ti5C2,5,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.975313447
TiN,1,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.032995104
TiN2,1,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.13670849
Ti2N,2,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.065650926
Ti3N4,3,4,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.108978036
Ti5N2,5,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.146574856
TiB,1,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.583260187
TiB2,1,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.654946893
Ti2B,2,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.880826239
Ti3B4,3,4,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.675440286
Ti5B2,5,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.533945859
WC,1,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.466120294
WC2,1,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.508487364
W2C,2,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.512928261
W3C4,3,4,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.543340907
W5C2,5,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.511725951
WN,1,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.466783866
WN2,1,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.709853154
W2N,2,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.50088064
W3N4,3,4,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.743328652
W5N2,5,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.7306698
WB,1,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.542457072
WB2,1,2,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.601414042
W2B,2,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.626528706
W3B4,3,4,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,13,2,10.811,2.34,1.972269889,0.84,8.298019,0.27972325,-0.620566891
